English name,scientific name,authority,range,order,family,extinct,extinct year
St. Helena Crake,Zapornia astrictocarpus,"(Olson, 1975)",formerly St. Helena Island; extinct,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",1.0,1502
Laysan Rail,Zapornia palmeri,"(Frohawk, 1892)","formerly Laysan Island; extinct, last reported 1944",Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",1.0,1944
Hawaiian Rail,Zapornia sandwichensis,"(Gmelin, 1789)","formerly Hawaii; extinct, last reported 1844",Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",1.0,1844
Miller's Rail,Zapornia nigra,"(Miller, 1784)","formerly Tahiti; extinct, last record from 1784",Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",1.0,1784
Kosrae Crake,Zapornia monasa,"(Kittlitz, 1858)","formerly Kosrae Island (Micronesia); extinct, last reported 1828",Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",1.0,1828
Canarian Oystercatcher,Haematopus meadewaldoi,"Bannerman, 1913","formerly Canary Islands; extinct, last reported 1950",Charadriiformes,Haematopodidae (Oystercatchers),1.0,1950
North Island Snipe,Coenocorypha barrierensis,"Oliver, 1955","formerly North, Browns, and Little Barrier islands, New Zealand; extinct",Charadriiformes,Scolopacidae (Sandpipers and Allies),1.0,1870
South Island Snipe,Coenocorypha iredalei,"Rothschild, 1921",formerly islands off Stewart Island (New Zealand); apparently extinct,Charadriiformes,Scolopacidae (Sandpipers and Allies),1.0,1964
Kiritimati Sandpiper,Prosobonia cancellata,"(Gmelin, 1789)",formerly Kiritimati (Christmas) Island (Line Islands); extinct,Charadriiformes,Scolopacidae (Sandpipers and Allies),1.0,1768
White-winged Sandpiper,Prosobonia leucoptera,"(Gmelin, 1789)",formerly Tahiti (Society Islands); extinct,Charadriiformes,Scolopacidae (Sandpipers and Allies),1.0,1790
Moorea Sandpiper,Prosobonia ellisi,"Sharpe, 1906","formerly Moorea (Society Islands); extinct, not reported since discovery in 1777",Charadriiformes,Scolopacidae (Sandpipers and Allies),1.0,1777
New Caledonian Buttonquail,Turnix novaecaledoniae,"Ogilvie-Grant, 1889","formerly New Caledonia; probably extinct, not reported with certainty since 1889",Charadriiformes,Turnicidae (Buttonquail),1.0,1889
Great Auk,Pinguinus impennis,"(Linnaeus, 1758)","northern North Atlantic; extinct, last reported 1844",Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",1.0,1844
Guadalupe Storm-Petrel,Hydrobates macrodactylus,"(Bryant, 1887)",formerly bred Guadalupe Island (Mexico); last reported 1912,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),1.0,1912
Large St. Helena Petrel,Pterodroma rupinarum,"Olson, 1975",formerly bred on St. Helena Island; extinct,Procellariiformes,Procellariidae (Shearwaters and Petrels),1.0,1502
Jamaican Petrel,Pterodroma caribbaea,"Carte, 1866",formerly Jamaica; extinct ca. 1936,Procellariiformes,Procellariidae (Shearwaters and Petrels),1.0,1936
Small St. Helena Petrel,Bulweria bifax,"Olson, 1975",formerly St. Helena Island; extinct,Procellariiformes,Procellariidae (Shearwaters and Petrels),1.0,1502
